start time:              220306-102539
number of robots:        1
replace chromosome:      True
adjust chromosome:       False
fix init chromosome:     True
points range:            [[100, 400], [-300, 300], [50, 50]]
number of points:        50
link width:              200

number of generation:    [10000]
number of chromosome:    50

pass time:               1 day, 19:53:19.241788(157999.2417883873 secs)
