start time:              220225-112319
number of robots:        1
replace chromosome:      False
adjust chromosome:       False
fix init chromosome:     True
points range:            [[100, 400], [-300, 300], [50, 50]]
number of points:        50
link width:              200

number of generation:    [5000]
number of chromosome:    50

pass time:               1 day, 0:38:31.416923(88711.41692304611 secs)
